Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
BTC-USD,Bitcoin USD,"46,680.46",#ERROR!,0.0632,914.637B,41.162B,41.162B,41.162B,19.594M,,
ETH-USD,Ethereum USD,"2,296.15",71.17,3.20%,275.960B,12.726B,12.726B,12.726B,120.184M,,
USDT-USD,Tether USDt USD,1.0005,0.0001,0.00012,94.140B,58.374B,58.374B,58.374B,94.091B,,
BNB-USD,BNB USD,305.19,5.94,0.0199,46.294B,1.138B,1.138B,1.138B,151.691M,,
SOL-USD,Solana USD,101.42,11.03,0.122,43.804B,4.102B,4.102B,4.102B,431.921M,,
XRP-USD,XRP USD,0.5675,0.0135,0.024416,30.763B,1.318B,1.318B,1.318B,54.21B,,
USDC-USD,USD Coin USD,1.00,0.0002,0.000219,25.358B,7.167B,7.167B,7.167B,25.353B,,
STETH-USD,Lido Staked ETH USD,"2,288.72",70.88,0.032,21.147B,30.02M,30.02M,30.02M,9.24M,,
ADA-USD,Cardano USD,0.5221,0.0313,0.063768,18.473B,593.458M,593.458M,593.458M,35.381B,,
AVAX-USD,Avalanche USD,36.74,3.77,0.1145,13.469B,1.021B,1.021B,1.021B,366.602M,,
DOGE-USD,Dogecoin USD,0.0793,0.0016,0.020875,11.304B,476.897M,476.897M,476.897M,142.579B,,
DOT-USD,Polkadot USD,7.39,0.43,0.0641,9.349B,270.724M,270.724M,270.724M,1.265B,,
WTRX-USD,Wrapped TRON USD,0.1041,0.0005,0.004627,9.187B,"848,729","848,729","848,729",88.274B,,
TRX-USD,TRON USD,0.1038,0.0003,0.002735,9.163B,246.265M,246.265M,246.265M,88.275B,,
LINK-USD,Chainlink USD,13.89,0.43,0.0323,7.889B,439.779M,439.779M,439.779M,568.1M,,
MATIC-USD,Polygon USD,0.8131,0.037,0.047651,7.775B,479.991M,479.991M,479.991M,9.563B,,
TON11419-USD,Toncoin USD,2.21,0.0191,0.0087,7.651B,62.093M,62.093M,62.093M,3.456B,,
WBTC-USD,Wrapped Bitcoin USD,"46,647.46",#ERROR!,0.0627,7.383B,346.793M,346.793M,346.793M,"158,268",,
ICP-USD,Internet Computer USD,13.01,1.48,0.1287,5.922B,441.904M,441.904M,441.904M,455.05M,,
SHIB-USD,Shiba Inu USD,0,0,0.045015,5.545B,178.597M,178.597M,178.597M,589.3T,,
DAI-USD,Dai USD,0.9997,0.0002,0.00017,5.347B,221.386M,221.386M,221.386M,5.348B,,
LTC-USD,Litecoin USD,66.45,1.97,0.0305,4.922B,413.451M,413.451M,413.451M,74.072M,,
BCH-USD,Bitcoin Cash USD,248,12.31,5.22%,4.863B,325.363M,325.363M,325.363M,19.609M,,
WEOS-USD,Wrapped EOS USD,3.6902,-1.146,-23.70%,4.1B,53,53,53,1.111B,,
ATOM-USD,Cosmos USD,9.85,0.51,0.0549,3.763B,168.028M,168.028M,168.028M,382.09M,,
LEO-USD,UNUS SED LEO USD,4.0487,0.0804,0.0202,3.757B,1.038M,1.038M,1.038M,927.993M,,
UNI7083-USD,Uniswap USD,6.0479,0.1199,0.0202,3.618B,104.907M,104.907M,104.907M,598.187M,,
INJ-USD,Injective USD,43.19,4.93,0.129,3.618B,456.383M,456.383M,456.383M,83.756M,,
NEAR-USD,NEAR Protocol USD,3.4157,0.2428,0.0765,3.432B,283.549M,283.549M,283.549M,1.005B,,
XLM-USD,Stellar USD,0.11794,0.001469,0.0126,3.335B,99.645M,99.645M,99.645M,28.273B,,
OKB-USD,OKB USD,54.09,0.63,0.0118,3.245B,5.707M,5.707M,5.707M,60M,,
OP-USD,Optimism USD,3.3294,0.2217,0.0713,3.188B,294.82M,294.82M,294.82M,957.379M,,
ETC-USD,Ethereum Classic USD,20.03,0.82,0.0431,2.904B,196.678M,196.678M,196.678M,144.948M,,
LDO-USD,Lido DAO USD,3.2153,0.3665,0.1286,2.862B,158.615M,158.615M,158.615M,890.177M,,
BXC5168-USD,Bitcoin Classic USD,"4,711.06",308.27,0.07,2.827B,1.675M,1.675M,1.675M,"600,147",,
STX4847-USD,Stacks USD,1.9759,0.1979,0.111274,2.828B,753.961M,753.961M,753.961M,1.431B,,
FIL-USD,Filecoin USD,5.6709,0.2693,0.0495,2.795B,289.464M,289.464M,289.464M,492.556M,,
XMR-USD,Monero USD,148,-4.39,-2.88%,2.721B,130.108M,130.108M,130.108M,18.382M,,
WHBAR-USD,Wrapped HBAR USD,0.079925,0.004657,0.0619,2.688B,"812,709","812,709","812,709",33.628B,,
HBAR-USD,Hedera USD,0.0796,0.0041,0.053791,2.675B,89.831M,89.831M,89.831M,33.628B,,
APT21794-USD,Aptos USD,8.4143,0.1195,0.0144,2.6B,182.451M,182.451M,182.451M,308.958M,,
KAS-USD,Kaspa USD,0.11561,0.012589,0.1222,2.572B,42.241M,42.241M,42.241M,22.245B,,
IMX10603-USD,Immutable USD,1.9349,0.0644,0.0344,2.558B,74.954M,74.954M,74.954M,1.322B,,
BTCB-USD,Bitcoin BEP2 USD,"46,679.64",#ERROR!,0.0618,2.517B,504.609M,504.609M,504.609M,"53,916",,
TIA22861-USD,Celestia USD,16.01,2.82,0.2141,2.501B,435.079M,435.079M,435.079M,156.167M,,
ARB11841-USD,Arbitrum USD,1.785,0.0983,0.0583,2.276B,1.075B,1.075B,1.075B,1.275B,,
CRO-USD,Cronos USD,0.090039,0.002516,0.029324,2.276B,17.678M,17.678M,17.678M,25.263B,,
VET-USD,VeChain USD,0.03029,0.000374,0.016252,2.208B,103.054M,103.054M,103.054M,72.715B,,
TUSD-USD,TrueUSD USD,0.9968,-0.0025,-0.25%,2.184B,374.49M,374.49M,374.49M,2.191B,,
USDE-USD,Energi Dollar USD,0.998792,-0.001493,-0.15%,1.991B,1.697M,1.697M,1.697M,1.994B,,
MNT27075-USD,Mantle USD,0.626256,0.035912,0.0608,1.959B,154.205M,154.205M,154.205M,3.127B,,
FDUSD-USD,First Digital USD USD,0.999184,-0.000677,-0.07%,1.937B,5.015B,5.015B,5.015B,1.938B,,
WBETH-USD,Wrapped Beacon ETH USD,"2,352.94",71.73,0.0314,1.838B,7.918M,7.918M,7.918M,"780,955",,
BSV-USD,Bitcoin SV USD,87.59,14.67,0.2012,1.717B,305.203M,305.203M,305.203M,19.602M,,
MKR-USD,Maker USD,"1,844.12",9.53,0.0052,1.697B,126.24M,126.24M,126.24M,"920,112",,
SEI-USD,Sei USD,0.7307,0.097546,0.1541,1.681B,751.632M,751.632M,751.632M,2.3B,,
RUNE-USD,THORChain USD,4.913,0.4444,0.09945,1.660B,413.221M,413.221M,413.221M,337.899M,,
ALGO-USD,Algorand USD,0.1954,0.0143,0.079038,1.570B,170.14M,170.14M,170.14M,8.033B,,
GRT6719-USD,The Graph USD,0.1661,0.0092,0.05894,1.556B,77.862M,77.862M,77.862M,9.364B,,
ORDI-USD,ORDI USD,73.81,6.88,0.1027,1.55B,587.897M,587.897M,587.897M,21M,,
TAO22974-USD,Bittensor USD,254.51,40.99,0.1919,1.529B,13.314M,13.314M,13.314M,6.009M,,
RNDR-USD,Render USD,4.0482,0.4126,0.1135,1.506B,170.006M,170.006M,170.006M,371.908M,,
RETH-USD,Rocket Pool ETH USD,"2,549.77",106.45,0.0436,1.433B,2.424M,2.424M,2.424M,"562,156",,
QNT-USD,Quant USD,118.77,7.18,0.0644,1.434B,23.981M,23.981M,23.981M,12.073M,,
EGLD-USD,MultiversX USD,53.74,2.95,0.0581,1.42B,48.216M,48.216M,48.216M,26.428M,,
AAVE-USD,Aave USD,95.83,1.7,0.0181,1.409B,141.468M,141.468M,141.468M,14.704M,,
1000SATS-USD,SATS USD,0.00062,0.000023,0.0383,1.302B,71.028M,71.028M,71.028M,2.1T,,
MINA-USD,Mina USD,1.1654,0.132,0.1277,1.202B,151.352M,151.352M,151.352M,1.031B,,
FLOW-USD,Flow USD,0.78098,0.044238,0.06,1.157B,83.729M,83.729M,83.729M,1.481B,,
HNT-USD,Helium USD,6.9708,1.9674,0.3932,1.114B,34.648M,34.648M,34.648M,159.796M,,
FTM-USD,Fantom USD,0.390844,0.025933,0.0711,1.096B,87.514M,87.514M,87.514M,2.804B,,
THETA-USD,Theta Network USD,1.0435,0.0285,0.0281,1.044B,25.962M,25.962M,25.962M,1B,,
BTT-USD,BitTorrent(New) USD,0.00000106,0.00000006,0.0644,1.031B,34.462M,34.462M,34.462M,968.246T,,
SAND-USD,The Sandbox USD,0.484355,0.024484,0.0532,1.026B,117.816M,117.816M,117.816M,2.119B,,
AXS-USD,Axie Infinity USD,7.7261,0.5574,0.0778,1.02B,67.603M,67.603M,67.603M,132.04M,,
SNX-USD,Synthetix USD,3.2845,-0.0333,-1.00%,999.004M,52.801M,52.801M,52.801M,304.158M,,
HEX-USD,HEX USD,0.005757,0.001253,0.2782,998.336M,1.577M,1.577M,1.577M,173.411B,,
WEMIX-USD,WEMIX USD,2.7652,0.289,0.1167,973.329M,26.175M,26.175M,26.175M,351.988M,,
KCS-USD,KuCoin Token USD,9.9603,0.2739,0.0283,962.57M,2.514M,2.514M,2.514M,96.641M,,
BEAM28298-USD,Beam USD,0.019001,0.001748,0.1013,941.506M,43.526M,43.526M,43.526M,49.551B,,
SUI20947-USD,Sui USD,0.838115,0.07007,0.0912,922.72M,248.837M,248.837M,248.837M,1.101B,,
BGB-USD,Bitget Token USD,0.639376,0.031104,0.0511,895.127M,16.348M,16.348M,16.348M,1.4B,,
XTZ-USD,Tezos USD,0.910134,0.037063,0.0425,879.734M,27.851M,27.851M,27.851M,966.598M,,
OSMO-USD,Osmosis USD,1.7464,0.0013,0.0008,860.26M,59.141M,59.141M,59.141M,492.591M,,
CHEEL-USD,Cheelee USD,15.84,0.77,0.0508,852.676M,6.363M,6.363M,6.363M,53.838M,,
FTT-USD,FTX Token USD,2.5671,0.1227,0.0502,844.304M,29.739M,29.739M,29.739M,328.895M,,
BONK-USD,Bonk USD,0.000013,0.000003,0.3088,841.525M,390.666M,390.666M,390.666M,63.334T,,
MANA-USD,Decentraland USD,0.442074,0.024326,0.0582,836.887M,67.283M,67.283M,67.283M,1.893B,,
NEO-USD,Neo USD,11.72,0.68,0.062,826.602M,50.105M,50.105M,50.105M,70.539M,,
KAVA-USD,Kava USD,0.746094,0.029763,0.0415,807.916M,25.261M,25.261M,25.261M,1.083B,,
ROSE-USD,Oasis Network USD,0.119847,0.007998,0.0715,804.608M,44.074M,44.074M,44.074M,6.714B,,
EOS-USD,EOS USD,0.718855,0.02051,0.0294,800.615M,129.59M,129.59M,129.59M,1.114B,,
